country
AFG
AHO
ALG
ANZ
ARG
ARM
AUS
AUT
AZE
BAH
BAR
BDI
BEL
BER
BLR
BOH
BOT
BRA
BRN
BUL
BWI
CAN
CHI
CHN
CIV
CMR
COL
CRC
CRO
CUB
CYP
CZE
DEN
DJI
DOM
ECU
EGY
ERI
ESP
EST
ETH
EUA
EUN
FIN
FRA
FRG
GAB
GBR
GDR
GEO
GER
GHA
GRE
GRN
GUA
GUY
HAI
HKG
HUN
INA
IND
IOP
IRI
IRL
IRQ
ISL
ISR
ISV
ITA
JAM
JPN
KAZ
KEN
KGZ
KOR
KSA
KUW
LAT
LIB
LTU
LUX
MAR
MAS
MDA
MEX
MGL
MKD
MNE
MOZ
MRI
NAM
NED
NGR
NIG
NOR
NZL
PAK
PAN
PAR
PER
PHI
POL
POR
PRK
PUR
QAT
ROU
RSA
RU1
RUS
SCG
SEN
SGP
SIN
SLO
SRB
SRI
SUD
SUI
SUR
SVK
SWE
SYR
TAN
TCH
TGA
THA
TJK
TOG
TPE
TRI
TTO
TUN
TUR
UAE
UGA
UKR
URS
URU
USA
UZB
VEN
VIE
YUG
ZAM
ZIM
ZZX
